text,label,reason
I thought I was going to have a pleasant conversation with this white woman until she said “you radiate dyke energy”. I just wanna cry man LMFAO,hateful,"hateful - The sentence contains a derogatory slur (""dyke"") that is directed towards a person's sexual orientation. It also implies that the speaker was insulted and made to feel uncomfortable because of their sexual orientation, which can be considered discriminatory and promote hate towards the LGBTQ+ community."
How many times do i have to tell you gays i have bad taste in all forms of media,Hateful.,"The sentence should be classified as hateful because it contains a direct reference to the target group ""gays"" and includes a negative stereotype that suggests they have bad taste in all forms of media. This language is disrespectful and offensive to individuals who identify as gay and promotes discrimination based on their sexual orientation."
"If you condone the use of the word ""fag"" in 2015 you're not only ignorant but pathetic.",hateful,"Hateful. The target group is individuals who identify as gay, and the sentence contains a direct reference to a derogatory term (""fag"") used against them. The sentence also uses insulting language (""ignorant"" and ""pathetic"") to attack those who condone the use of the term, which can incite hate and discrimination against the target group."
"""@damselharry: “@Honeysvckle: Gay guys are always the hottest” and the funniest""and sadly the ones i always seem to fall for..",Non-hateful.,"The sentence does not contain any explicit reference to a stereotype, group characteristic or slur related to sexual identity, gender identity, or sexual orientation. It also does not incite violence, hate, or discrimination towards individuals or groups based on their sexual identity, gender identity, or sexual orientation. The sentence expresses a personal preference and attraction towards a group of people, but does not insult or harm them in any way. Therefore, it can be classified as Non-hateful."
Remember when someone hit up ally at 1 am and she thought it was a booty call but they asked her if she had any weed😩😂,Non-hateful.,"Non-hateful. This sentence does not contain any explicit reference to a particular group or individual based on their race, ethnicity, gender, sexual orientation, religion, or any other personal characteristic. The sentence is simply a humorous anecdote that does not promote hate or discrimination towards any group or individual."
It's a bigger win than we even thought: actual vote count was 211-116! #NH4M #lgbt,Non-hateful.,"Non-hateful. The sentence shows excitement and celebration about a win in a political campaign (#NH4M), specifically related to LGBT rights (the hashtag #lgbt). The language used is positive and does not contain any derogatory or discriminatory references towards any group."
the bamf on mccrees belt Actually means bisexual ass mother fucker,hateful,"The sentence contains a direct reference to a sexual identity group (bisexual), and uses a vulgar slur (""ass mother fucker"") to describe them. This incites hate and discrimination towards individuals who identify as bisexual. Therefore, the sentence should be classified as hateful."
ally is currently listening to the live version of fallingforyou hehe i love educating,Non-hateful.,"The reason for the non-hateful classification of this sentence is that it is a personal statement about someone's musical preference and enjoyment. It does not contain any explicit or implicit reference to a non-dominant group or any language or behavior that may cause harm or offense to individuals or groups based on their personal characteristics. The statement is respectful, considerate, and promotes inclusivity by expressing love for educating, which can be seen as valuing diversity and fostering constructive dialogue and understanding among people with different perspectives and backgrounds."
Gays who do not support Obama are enemies of #LGBT #Equality. /// #Gay #NOH8 #p2 #topprog @BarackObama,hateful,"The sentence should be classified as hateful because it contains an explicit reference to the group ""gays"" and uses a divisive and hostile tone by labeling those who do not support Obama as ""enemies"" of the LGBT community. The use of the hashtag #NOH8, which stands for ""no hate,"" is ironic in this context as the statement itself promotes hate towards individuals with different political beliefs."
Exams are gay as fuck,Hateful.,"The sentence should be classified as hateful because it contains a derogatory and offensive term (""gay"") used to describe something negative (exams). This language perpetuates harmful stereotypes and reinforces discrimination against individuals based on their sexual orientation. The use of the word ""fuck"" also adds to the derogatory nature of the sentence."
"I grew out of ""I never text first"" phase, since I realized nothing was wrong with showing someone, you care about them more than your pride.",Non-hateful.,"The sentence does not contain any explicit reference to a non-dominant group or any language that may cause harm or offense to individuals or groups based on their personal characteristics. It promotes a positive behavior of expressing care towards someone and valuing them more than one's pride. Therefore, the sentence is classified as Non-hateful."
People always resolve to social media than rather confronting you the fag laaaaadsssss,Hateful.,"The sentence should be classified as hateful because it contains a slur (""fag"") directed towards a group based on their sexual orientation, which is a non-dominant group. The use of the slur in this context is derogatory and insulting, and it contributes to the marginalization and discrimination of individuals who identify as gay or bisexual. Additionally, the tone of the sentence is hostile and contemptuous, suggesting a lack of respect and consideration for the targeted group."
So are they making rainbow Doritos tacos locos for lesbians or what?,Hateful.,"The classification for the sentence ""So are they making rainbow Doritos tacos locos for lesbians or what?"" is Hateful because it contains a stereotypical reference to the sexual orientation of lesbians, implying that they only eat rainbow-colored food. This stereotyping is derogatory and offensive and serves to marginalize and demean individuals based on their sexual orientation. The sentence is also using the term ""lesbians"" in a derogatory manner, which is a direct reference to a non-dominant group, making it hateful."
When that tranny bust his ass at tropi lastnight nigga 14 inch dingalong whipped out lmaooo,Hateful.,"The sentence should be classified as Hateful because it contains a derogatory term ""tranny"" which is used as a slur against transgender individuals. The sentence also contains disrespectful language about the person's gender identity and sexual orientation, which is likely to incite hate and discrimination towards the transgender community. The use of explicit language and mocking tone also shows a lack of respect for individuals who identify as transgender."
"#Libra dont care if you're black, white, straight, bisexual, gay, short, tall, fat, skinny, rich or poor. If youre nice to them, they'll be",Non-hateful.,"The sentence is non-hateful because it promotes inclusivity and values diversity. It highlights that the Libra zodiac sign does not discriminate based on various personal characteristics such as race, sexual orientation, or socioeconomic status. The sentence also implies that kindness is what matters to the Libra zodiac sign, which fosters positive relationships and understanding among people with different backgrounds and perspectives."
"Dignity, LGBTQ, BLM, Honesty, Small Businesses, Popular Vote, Women's Bodies,The Disabled, America, Climate C #ThingsTrumpThinksAreOverrated",Non-hateful.,"The sentence does not contain any explicit reference to any of the mentioned groups or individuals through stereotypes, group characteristics, slurs, or direct references. It is simply a list of words, and there is no incitement of hate, violence, or discrimination towards any specific group. Therefore, the sentence can be classified as non-hateful."
"Apparently there have been less than 100 reported cases of my particular intersex ""condition"" as of last year, so frankly you're all lucky to know me.",Non-hateful.,"The sentence does not contain any explicit reference to a stereotype, group characteristic, slur or a direct reference to any target group. Additionally, it does not incite hate, violence, or discrimination towards any individual or group. The speaker is sharing a personal experience and expressing their uniqueness in a positive manner without insulting or discriminating against anyone. Therefore, the sentence is classified as Non-hateful."
"I want to live in a world where everyone:  lesbian, trans, bi, gay, straight, queer, genderqueer, questioning, asexual, intersex, and all yet to be discovered identities and sexualities are free to express who they are... Happy #PrideMonth",Non-hateful.,"The sentence is non-hateful because it promotes inclusivity and respect for individuals with diverse sexual and gender identities. It celebrates the LGBT+ community and acknowledges the existence of various sexual orientations and gender identities. The sentence does not contain any stereotypes or slurs and does not incite violence, hate, or discrimination. Instead, it expresses a desire for a world where everyone can freely express themselves, which is a positive and respectful sentiment."
"""Society changed when I began to identify as a man... ppl seem to respect me more."" Harry Nicholas Taylor #LGBT #yflpresents",Non-hateful.,"The sentence does not contain any explicit reference to a stereotype, group characteristic, slur, or any direct reference to a target group. It is a personal statement of Harry Nicholas Taylor, expressing his experience of societal change upon identifying as a man. Therefore, the sentence can be classified as non-hateful."
"THE GUY AT THE TATTOO SHOP THOUGHT MY MOM AND I WERE A LESBIAN COUPLE, I AM SO DONE.😂😂",Non-hateful.,"The sentence does not contain any explicit reference to a stereotype, group characteristic, slur, or any direct reference to a target group related to sexual orientation or gender identity. It is a personal anecdote that does not incite violence, hate, discrimination, or group insult. Therefore, the sentence can be classified as Non-hateful."
"How to respectfully use the new @furaffinity gender labels:
 1. The trans* labels should be reserved for transgender characters only, not transformation fetish content.
 2. The intersex label is NOT for fetish fuel characters.
 3. Non-binary does not mean ""neuter"".",Non-hateful.,"The reason for the non-hateful classification of the sentence is that it provides guidance on how to use the new gender labels on Furaffinity in a respectful manner, and emphasizes the importance of not using certain labels for fetish content. The sentence promotes inclusivity and understanding of gender identity while avoiding any language or behavior that may cause harm or offense to individuals or groups based on their gender identity."
i wanna text the only guy i dated just to tell him how much of a dyke i actually am,Hateful.,"The sentence contains a direct reference to the target group of lesbians and uses the term ""dyke"" which is a slur often used to insult and degrade lesbian individuals. It also suggests a desire to communicate with an ex-partner solely to reveal and potentially shame them for their sexuality. This incites hate and discrimination towards the lesbian community and is therefore classified as hateful."
asexual ppl are lgbt and aromantic people are lgbt. if you disagree block me before i block you,hateful,"The sentence should be classified as hateful because it contains an explicit reference to sexual orientation and gender identity, and it is inciting hate and discrimination against people who are not heterosexual or romantic. The use of the phrase ""if you disagree block me before I block you"" implies that the author is not open to discussion and is instead promoting a hostile environment towards those who do not share their views. It also creates an ""us vs. them"" mentality, which can further stigmatize and marginalize non-heterosexual and non-romantic individuals."
how many anti-lgbt christians even have gay friends. who are these friends. let's contact them and discuss their poor judge of character.,hateful,"The sentence should be classified as hateful because it targets a specific group (anti-LGBT Christians) and implies that they are not capable of having genuine friendships with individuals who identify as LGBT. It also suggests that their judgment of character is poor, which is a negative and derogatory stereotype. Additionally, the call to contact these supposed friends and discuss their judgment implies an intention to shame or expose them, which can be seen as an act of discrimination or hate."
Fixing to go get some #popppers and then #cam....anyone interested in playing with a #faggot?,hateful,"The sentence is classified as hateful because it contains a direct reference to a sexual orientation group (gay men), using a derogatory term ""faggot."" It also suggests engaging in a potentially harmful and non-consensual sexual activity with the use of poppers (amyl nitrate), which can be dangerous when not used responsibly. The sentence dehumanizes and insults individuals based on their sexual orientation, inciting hate and discrimination against them."
"DON'T BE QUEER, HAVE NO FEAR ITS GOING UP THE REAR, AND STAYING HERE, HAVE A BEER, VOTE FOR DEER",hateful,"The sentence contains a slur towards queer individuals and promotes hateful language towards them. Additionally, it includes sexual innuendo and suggests that queer individuals engage in inappropriate sexual behavior. The use of such language and promotion of negative stereotypes contribute to a hostile environment for queer individuals and can be considered hateful."
great episode tonight of #insightSBS about intersex,Non-hateful.,"The reason for the non-hateful classification of the sentence is that it refers to communication that is respectful, considerate, and promotes inclusivity. It recognizes and values diversity and fosters constructive dialogue and understanding among people with different perspectives and backgrounds. The sentence does not contain any explicit reference to stereotypes, group characteristics, slurs or any language that may cause harm or offense to individuals or groups based on their sexual identity or gender identity."
Help me though there are so many qt metalhead lesbians here.,Hateful.,"The sentence contains a stereotype about a specific group of people, namely ""qt metalhead lesbians."" This reduces individuals to a narrow and potentially offensive characterization based on their sexual orientation and music preferences. The use of the term ""qt"" can also be seen as objectifying and disrespectful. Therefore, the sentence could be perceived as disrespectful and insulting to individuals who identify as lesbians and/or metalheads."
why i always look like a dyke tho,Hateful.,"The sentence contains a slur ""dyke"" which is a derogatory term used to insult and degrade lesbian or bisexual women. This language is discriminatory and harmful to individuals who identify with the targeted group, in this case, lesbian or bisexual women. Therefore, the sentence should be classified as Hateful."
Part of our couch caves in 4 some reason and I wake up to @ally_staker telling me she puked in it but it's ok...🤦🏼‍♀️😷😷😷😷,Non-hateful.,"The sentence is non-hateful because it does not target or refer to any specific group based on their personal characteristics. It is simply a description of an unfortunate event that happened with the couch and a friend's reaction to it. Although the use of emojis may indicate disgust, it is not directed towards any person or group."
My dad's talking about changing his diet &amp; speaking with pride about how he no longer eats a bag of chocolate chips per day but rather 1/4.,Non-hateful.,"The reason for the Non-hateful classification of the sentence is that it is a personal anecdote about someone's father changing his diet and making healthier choices. The sentence does not contain any explicit reference to a particular group or individual, and it does not contain any language or behavior that may cause harm or offense to individuals or groups based on their personal characteristics. It promotes a healthy lifestyle, which is a positive message."
"Thx 2 all my friends posting fitness pics on instagram, the dude next 2 me on the plane thinks Im gay because my feed is full of you fuckers",Non-hateful.,"The classification for this sentence is Non-hateful because it is not targeting any specific group based on their sexual identity, gender identity or sexual orientation. The sentence is simply a humorous remark about how someone else perceives the speaker based on the content of their Instagram feed. It does not contain any explicit reference to a stereotype or slur about any non-dominant group, nor does it incite violence, hate, or discrimination against any group."
"If we flew the gay pride flag at the embassy in Afghanistan or Iraq, I’m sure there wouldn’t be a conflict at all lmao. Gays need to settle down.",Hateful.,"This sentence should be classified as Hateful because it contains explicit references to the target group (gays) through a stereotype and a slur. The sentence implies that displaying the gay pride flag would cause conflict, which is a negative stereotype about the LGBTQ+ community. Additionally, the use of ""Gays need to settle down"" is a derogatory and dismissive statement that is disrespectful and harmful to the LGBTQ+ community. The sentence promotes discrimination and intolerance towards individuals based on their sexual orientation, making it hateful."
Had a dream i got into an internet squabble with a minor youtube personality called The Asexual Atheist,Non-hateful.,"The sentence does not contain any explicit reference to a stereotype, group characteristic, slur, or direct insult towards any group based on their sexual orientation, gender identity, or any other personal characteristic. The sentence also does not incite violence, hate, or discrimination towards any group. It is a personal anecdote that does not aim to harm or offend anyone. Therefore, the sentence can be classified as Non-hateful."
"If waiting till marriage/abstinence doesn't make a straight girl not straight, not having had sex with [gender] doesn't make bi people not bi.",Non-hateful.,"The sentence promotes inclusivity and understanding of bisexuality as a valid sexual orientation. It does not contain any explicit reference to a stereotype, group characteristic, slur, or direct insult towards any non-dominant group based on their sexual orientation or gender identity. Therefore, it is classified as non-hateful."
"Lesbians can be Nonbinary, trans, intersex, Butch, fem,andro, cis, they can be mapas, papas, mothers, lovers, husbutches, wives aswell as single &amp; out or about to be out. We are everywhere. Sometimes we are stealth &amp; sometimes as bold as F**K #lesbianvisibilityday 💜🌈🔥",Non-hateful.,"The reason for the Non-hateful classification of this sentence is that it promotes inclusivity and celebrates the diversity within the lesbian community. It acknowledges that lesbians can have different gender identities and expressions, and can have different family roles and relationship statuses. It also emphasizes their visibility and existence in society. Although the sentence includes some strong language, it is not used in a hateful or derogatory way, but rather to express empowerment and boldness."
"me: [at tv] oh no he's crying
mum: oH gOT A CRUSH ON THE TV BOY HUH??
me:
mum:
me:
mum:
me: mother I'm asexual",Non-hateful.,"The reason for the non-hateful classification of this sentence is that it does not contain any explicit reference to a stereotype, group characteristic, slur, or direct reference to a target group. Additionally, the sentence does not incite violence, hate, or discrimination towards any group, nor does it insult any group. It is a conversation between a child and their mother about the child's sexuality and their lack of sexual attraction. The tone of the conversation appears to be light-hearted and non-discriminatory."
GAY IS OKAY,Non-hateful.,"Non-hateful. This sentence is promoting acceptance and inclusivity towards individuals who identify as gay. It is a positive statement that affirms the validity of their sexual orientation, and does not contain any derogatory language or incitement of hate or discrimination."
"remember when a man tried touching ellie so she broke his finger, killed all of his men, bit him after telling him she was infected and THEN turned his face into hamburger using a machete? lesbian ICON",hateful,"hateful - The sentence contains a reference to lesbian identity and uses violence and aggression as a means of glorifying and celebrating the individual's sexual orientation. The language used also promotes violence and discrimination towards men, which is not an acceptable behavior towards any gender or sexual orientation."
"I know (as a bi person) that bi erasure is real, but trans people get talked over by the LGB all the time",Non-hateful.,"The sentence acknowledges the existence of bi erasure and recognizes the marginalization of trans people within the LGBTQ+ community. It does not contain any explicit reference to a stereotype, group characteristic, slur, or incitement to violence, hate, or discrimination. Instead, it highlights an issue of intersectionality within the LGBTQ+ community and advocates for inclusivity and equal representation. Therefore, the sentence is classified as Non-hateful."
ally is so fucking amazing man,non-hateful,"The sentence does not belong to any of the target groups of sexual identity, gender identity or sexual orientation. It does not contain any explicit reference to a group through a stereotype, group characteristic or slur, nor does it incite violence, hate or discrimination or group insult. The sentence expresses admiration and appreciation for someone without any harmful connotations, therefore it can be classified as non-hateful."
"Research seminar Thur 11 May 2pm, Pathfoot C2. Queer Geek Culture: Media Fandom &amp; Social Justice-Alexis Lothian, U of Maryland. All welcome!",Non-hateful.,The sentence is non-hateful because it is informative and respectful. It does not contain any language or behavior that may cause harm or offense to individuals or groups based on their sexual orientation or gender identity. The sentence promotes inclusivity and respects individual autonomy by welcoming everyone to attend the research seminar regardless of their background or identity.
Apologies for being so negative lately. Things have been fuct irl for me lately. Sorry if I took it out on any allies. I'm trying.,Non-hateful.,"The reason for the non-hateful classification of the sentence is that it is a message of apology and accountability. The person is taking responsibility for their negative behavior and expressing regret for potentially hurting others. They are also acknowledging their allies and expressing a desire to improve their behavior. While the use of profanity may be considered inappropriate in some contexts, the overall tone and intention of the message is not hateful or discriminatory towards any particular group."
Really crucial arguments from @simonevans117 about the importance of normalising LGBT relationships in schools #YLEA16,Non-hateful.,"Reason for Non-hateful classification: The sentence is promoting inclusivity and understanding towards LGBT relationships in schools. It is not discriminatory or insulting towards any group or individual based on their sexual orientation or gender identity. Therefore, it is classified as non-hateful."
I'm about ready to start jumping into people's mentions when they ignore the fact that queer and disabled folk are gonna suffer under Trump.,hateful,"hateful. The sentence contains an explicit reference to the group (related to the sexual orientation and disability) through a stereotype and a direct reference to the target group itself. It also incites violence, hate, or discrimination by indicating a desire to engage in negative behavior towards those who do not acknowledge the potential harm that the Trump administration could cause to marginalized communities."
Hey guys I know she's a lesbian but I still really fancy Ellen Page and I'm still jealous of Paulie Bleeker smh,hateful,"Hateful classification: sexual orientation.

Reason: The sentence uses the sexual orientation of Ellen Page (lesbian) as a characteristic that might affect the speaker's attraction towards her, implying that being a lesbian is a negative trait. It also uses ""smh"" (shaking my head) to express disapproval towards the fact that Ellen Page is a lesbian. This reinforces negative stereotypes and attitudes towards lesbian individuals, making the sentence hateful."
LMAOO a customer told Dylan he looks look the transgender from degrassi,hateful,"hateful - The sentence contains a slur against transgender individuals and mocks and belittles them, implying that looking like a transgender person is something negative and laughable. This can be seen as an act of transphobia and can cause harm, offense, and discrimination towards transgender individuals."
"One person weaponising their queerness doesn't mean you can justify biphobia.

One person being a rapist and also happening to be intersex doesn't mean you can use words like 'warped' or otherwise comment on their body.

STOP UNDERMINING OTHER MARGINALISED PEOPLE this is not hard",Non-hateful.,"The sentence is non-hateful because it promotes respect and inclusivity towards marginalized individuals, particularly those who identify as queer, intersex, and/or bisexual. The sentence condemns the use of biphobic language and recognizes that one person's actions do not justify discrimination or hate towards an entire group of people. The sentence also encourages people to stop undermining other marginalized groups and to promote solidarity among all marginalized individuals."
"Really bothers me when people find out I’m Bi &amp; say it’s only for attention and that there’s no such thing that you can only be gay or straight, like no sorry I AM attracted to both sexes and would gladly get with either and have a relationship with either.",Non-hateful.,"Non-hateful. The sentence is expressing frustration with the common misconception that bisexuality is not a valid or real sexual orientation, and clarifying that the individual is indeed attracted to both sexes. It does not contain any explicit derogatory language or promote hate, violence or discrimination towards any group."
"I'll just say this:

If you think Bisexual people don't get abused - you're really, really fucking wrong and ignorant about the world.",hateful,"hateful - The sentence contains an insult (""you're really, really fucking wrong and ignorant"") directed towards people who hold a certain belief about bisexual individuals. It also implies that the targeted group is ignorant and lacks awareness about the issue of abuse faced by bisexual people, which can be considered a derogatory stereotype. The use of profanity further emphasizes the negative and aggressive tone of the sentence."
Y’all mad at A$AP Rocky for saying dyke first of all he’s a bisexual lesbian showing support for his community,Non-hateful.,"Non-hateful. The sentence refers to a person showing support for their community, specifically the bisexual and lesbian community. The use of the word ""dyke"" is being discussed, but it is not being used in a derogatory or hateful manner."
jk rowling: harry potter’s *spins wheel* broom was *spins wheel* biromantic asexual,Non-hateful.,"The sentence is non-hateful because it is a playful joke about the fictional character Harry Potter and does not contain any explicit reference to a non-dominant group or any stereotype, slur, or offensive language. The sentence does not incite violence, hate, or discrimination against any group or individual based on their sexual orientation or gender identity."
did y'all forget that whatever collective revolution happens in the future ~ it will not include those of us in academia...no not even the poor intellectual faggots of color 🤪✌️,hateful,"The sentence contains explicit reference to a group of people based on their sexual orientation and/or race, using a derogatory slur ""faggots of color."" This language is intended to insult and demean individuals who belong to these non-dominant groups and is therefore considered hateful."
"can someone destroy that call for ""gay erotica"" that only wants cis man gay erotica",hateful,"The sentence should be classified as hateful because it targets individuals who are gay and cisgender and implies that their preferences for erotica are not valid or desirable. It also uses derogatory language by referring to their preferences as ""gay erotica,"" which is a slur. The sentence incites discrimination and hate towards a specific group of people based on their sexual orientation and gender identity."
Important: I am writing a screenplay and I need a little help from bisexual girls and boys. If I prepare a questionnaire will anyone fill it out? #lgbt #lgbtqunite #loveislove,Non-hateful.,"The reason for the Non-hateful classification of the sentence is that it is a respectful and inclusive message that seeks help from bisexual individuals for a screenplay. The message also includes relevant hashtags, such as #lgbt, #lgbtqunite, and #loveislove, which promote diversity and inclusivity. There is no language or behavior that may cause harm or offense to individuals or groups based on their sexual orientation, gender identity, or any other personal characteristic."
The best part about being a Jewish italian is I can call a tranny the nword with a hard r and be applauded because I’m such a protected group,Hateful.,"The sentence contains a derogatory slur (the n-word with a hard r) that is used to refer to a transgender person. It also implies that being part of certain protected groups permits the use of hateful language towards another group, which is discriminatory and promotes hate towards the transgender community. Therefore, the sentence should be classified as Hateful."
"The NEW liberal-democrat's women's movement is made up of nothing more than obese, lazy, unemployed, disgusting, whining lesbians.",Hateful.,"The sentence is classified as Hateful because it contains explicit references to the target group ""lesbians"" through stereotypes and slurs. The language used in the sentence is derogatory and dehumanizing, and it incites hate and discrimination against the target group. It also contains negative stereotypes about women who are part of the liberal-democrat's women's movement, which further adds to the hateful nature of the sentence."
"grandpa called me ""queer"" and passive aggressively offered to pay for a gym membership for me all in one morning what a wild ride",hateful,"hateful - The sentence contains a direct reference to the target group ""queer"" which is a slur and a stereotype often used to insult and discriminate against individuals who identify as non-heterosexual or non-cisgender. The mention of the grandfather's behavior implies a negative and discriminatory attitude towards the target group, indicating a clear intent to insult and marginalize individuals based on their sexual orientation or gender identity."
I shall remain asexual because WHO NEEDS BOYS WHEN PIZZA EXISTS,Non-hateful.,"The sentence does not contain hate, violence, discrimination, or insults towards any individual or group based on their sexual orientation or any other personal characteristic. It is a personal statement expressing the speaker's preference for pizza over romantic relationships with boys. Therefore, the sentence is classified as non-hateful."
When you find out the hottest girl in your class is a lesbian......,hateful,"The sentence should be classified as hateful because it refers to sexual orientation, which is a non-dominant group, and contains a stereotype that lesbians are attractive to males. This reinforces harmful and false beliefs about the LGBTQ+ community and implies that being a lesbian is abnormal or undesirable. The sentence can also be seen as insulting and disrespectful to individuals who identify as lesbian."
😻😩 lesbian sex &gt; 🙌💯 .. shit make you wet just thinking about it 😝💦 shit so lit 🔥👅💦,hateful,"This sentence contains explicit and graphic sexual content related to lesbian sex, which reduces individuals who identify as lesbian to their sexual behavior and objectifies them. It also uses emojis that are sexual in nature and implies that lesbian sex is solely for the pleasure of others. This language is disrespectful and offensive and contributes to a culture of sexualization and fetishization of non-dominant sexual orientations. Therefore, the sentence should be classified as hateful."
"Our biggest liability is pride.
Our biggest asset is humility.

@scottsauls",Non-hateful.,"The sentence does not refer to any specific group or individual in a negative manner or incite violence, hate, or discrimination. It promotes the values of humility and self-awareness, which are positive qualities that can benefit individuals and society as a whole. Therefore, it can be classified as non-hateful."
